Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Litrals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-4, -12, 14], [-8, 9, -13, 14], [-6, -9], [-7, 6]]","[[9, 7], [-3, 13, -1], [1, -14, 12], [8, -5], [9, 5, 13], [2, 3, -1], [-11, -3], [-2, 14], [-8, 1, 3, 5], [-4, 12, 13], [10, -2], [8, 13, -10], [-8, -9, -1, 7], [3, -10, 14, 7], [-4, -3, -10], [9, 10, -11], [-14, -5, 6], [-6, 5], [-7, -13, -11, -5], [1, 11, -12], [6, 7], [-14, -13, -12], [2, 3, 7, 13, 14], [-7, -6, 11], [-8, 11, -10], [-3, 9, 10, 12, -4, 14]]",0.999755859375,0.5899658203125,0.5899658203125,0.999755859375,0.999755859375,1.0,0.5897216796875,T-,T+,T+,0.9954806206161392,0.7264596485484873,79.61092896469945,4903.610121056841,290,110,290,110
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-2], [-4]]","[[3, 6, 11, 12, 13, 14, -7], [5, 7, 10, 14, -13, -11, -6], [3, 6, 9, 11, 12, 13, -7], [4, 5, 14, -12, -11, -8, -6], [2, 11, 12, 14, -7, -3], [5, 6, 8, 9, -12, -10, -1], [1, 5, 6, 8, 10, -14, -11], [2, 6, 9, 10, 12, 14, -13, -3], [12, -13, -9, -8, -1], [1, 3, 8, -12, -11, -6, -5], [6, 10, 14, -12, -11, -9, -8, -3, -1], [2, 9, 13, 14, -11, -10, -6], [4, 7, 9, 12, 14, -5, -3, -1], [5, 8, 9, 13, -12, -10], [1, 5, 11, -13, -7, -6], [2, -10, -8, -6, -5, -3], [1, 2, 5, 7, 9, -8], [2, 3, 11, 13, -12], [1, 4, 6, 13, -12, -10], [6, 7, 8, 9, 10, 12], [3, 5, 12, 13, 14, -11, -7], [1, 4, 12, -14, -5], [1, 2, 10, 11, -13, -9], [2, 9, -12, -7, -3], [3, 11, 12, -10, -6], [2, 4], [8, -11, 5, 13], [-6, -14, 3], [1, 5, -9], [2, -10, 7], [1, 4, 14], [5, 9, 10, 11, -13], [4, 6, 7, 9, -14], [8, 12, 14, -10, -1], [-7, 5, 4, -12], [13, 14, -12, -9, -5], [1, 5, -14, -6, -3], [2, 3, 5, 7, 10], [6, 11, -13, -9, -7], [1, 9, 13, -8, -7], [1, 2, 6, 14], [3, 8, 12, 14, -13], [7, 12, -14, -10, -9], [2, -14, -10, -3, -1], [8, 2, -1, 7], [12, 13, -10, -9], [8, -14, 4, -9], [-8, 1, -6, 10], [-13, -11, -10, 7, -5]]",1.0,0.5628662109375,1.0,1.0,1.0,1.0,0.5628662109375,T+,T+,T+,0.9854646041532028,0.752459153399919,277.62416562983833,4401.877490541214,168,232,168,232
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[-8], [9]]","[[7, -11, -1, 14], [2, 4, 6, 7, 12, 13, -1], [2, 12, -11, -5, -4], [1, 5, 11, 12, -13, -7, -6, -2], [2, 3, 7, 14, -9, -6, -5, -4], [5, 7, 8, 12, 13, -14, -10, -2, -4, -1], [1, 3, 4, 5, 8, -13, -7, -6], [2, 3, 4, -10, -6, -1], [1, 6, 11, -9, -5], [7, -13, -2, -9, -10, -6, -3, -1], [2, 4, 5, 7, 12, 13, -6, -1], [2, 7, 12, -14, -5, -1], [2, 6, 11, 14, -13, -5], [3, 4, 11, 12, 14, -10, -7, -5], [2, 3, 7, 12, -13, -11, -10, -6], [3, -10, -9], [13, -9], [8, 3, -12], [10, -11, -1], [-7, 2, -10], [-3, -12, -11], [6, 7, 12, 14, -13, -3, -2], [6, 14, -11, -10, -4], [-6, 11, -10, -13], [3, 5, 6, -9], [6, 7, 12, -14, -5], [-14, -7, -6, -4, -1], [3, 10, -13, -12, -9], [1, 4, 7, -6, -3], [-7, 10, 13], [-7, 3, -4, 5], [-6, 4, -11, -9], [8, -13, -4, 12], [8, -9], [-3, 2, 4, 6, -10, 13, -1], [8, -5, -2], [-3, -10, -8, -7, 11, 13, -1]]",1.0,0.595947265625,1.0,1.0,1.0,1.0,0.595947265625,T+,T+,T+,0.9953549064536672,0.7641724502760688,134.2780256331471,4252.618381608163,176,224,176,224
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [8]]","[[1, 2, 9, 11, -13, -12, -7], [11, 13, -12, -5, -4, -1], [9, 12, -7, -4, -3, -2], [2, 11, -14, -13, -3], [-11, -12, -3], [-7, 3, 4], [4, 6, 7], [1, 7, -11, -6, -5], [-12, -1, 7], [-4, -2, -1], [2, -6, -11], [-14, -3, 6], [3, -4, -1, -5], [-14, -2, -10, 7], [2, -13, -4, -9], [1, -13, -11, 14], [2, -13, -12, 6, 11], [-2, 7, 10, -5, 14], [-6, 11, 4], [2, 12, -10], [10, -6], [-8], [7, 9, 12, 13, 14, -11, -6, -2], [11, 5], [10, 3, -11, -13], [10, -11, -2]]",0.9979248046875,0.59912109375,0.59912109375,0.9979248046875,0.9979248046875,1.0,0.5970458984375,T-,T+,T+,0.9981597198106561,0.7083532526810544,32.650833501966154,5174.488886660007,243,157,243,157
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[5, 12, 14, -2, -6, -1], [10, -11, -2], [-4]]","[[2, 3, 6, 11, -13], [2, 10, 14, -7, -5, -3], [14, 7], [-3, 6], [11, 3, 13], [-13, -12, 5], [-8, 1, -5], [9, 2, 10, 12], [8, -5, -10, -1], [11, -3, -10], [3, 5, 6], [-9, -3, 7], [-11, -5, -4, -3, -2], [10, 12, 5], [-11, -1, 9, -6, -5, 14], [1, 10, 3], [-12, 6, -10, -7, 13, -1], [1, 2, -11], [12, -9], [2, 3, 5, 9, 10, 13, -12, -1], [4], [-8, 2, -3], [2, 7, 8, 9, -12, -6, -5, -1], [-14, -2]]",0.9921875,0.54730224609375,0.54730224609375,0.9921875,0.9921875,0.9911101233470385,0.54925537109375,T-,T+,T+,0.9928066654132045,0.6961014991780081,127.62322038001196,5436.651480057037,251,149,251,149
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-6, -5, 13], [-7, 2, -6, 4], [1, 4, 5, 7, 11, 14, -12, -10, -9, -6, -2], [-8, 9]]","[[-7, -13, -10], [13, -1], [1, -12, 14], [-14, -12], [-8, 2, 7], [-5, -1], [-3], [12], [4], [-11], [10]]",0.979248046875,0.400146484375,0.400146484375,0.979248046875,0.979248046875,0.9993573264781491,0.3798828125,T-,T+,T+,0.9935150384820108,0.7993187618114831,114.86142169805372,3608.62767189947,326,74,326,74
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[3, 5, 8, 10, 12, -14, -13, -11, -9, -7], [9], [2]]","[[1, 3, 4, 5, 11, -14, -13, -10, -6], [4, 10, 13, 14, -11, -9, -8, -5], [4, 8, 10, -11, -7, -3], [3, 11, 12, -14, -9], [8, -4, -11], [5, 6, 10, 13, 14, -11, -3], [3, 4, 8, 11, 13, -14, -12, -5], [4, 7, 10, 11, -14, -12, -2, -1], [3, 4, 10, -6, -1], [5, 10, 11, -14, -13, -12, -8, -6, -4], [3, 6, -14, -13, -1], [-2, -9], [-6, 5, -9], [-1, 13, 6, 14], [10, -13, -11, -1], [1, 3, 6, 14, -12], [11, -14, -13, -5], [-10, -2, 7], [-14, -13, -11, -9], [1, -13, -4, -5], [1, 12, -11, -2], [4, -12, -1, -9], [10, -5, -3, -9], [8, 11, -10, 14], [1, -3, 14, 7], [11, -10, -9, -6, -4], [-7, 10, -5, -1], [8, 1, 12, -4], [-13, 5, -10, -8, 11, 12, -4], [-7, 10, 14, -1], [1, -9, 6, -10, 12], [-13, 4, -12, -5], [-14, 4, 5, -11, -7, -6], [-3, -10, 6], [4, 11, 12, 14, -13, -1, -6, -2], [1, 5, 10, 11, -3, 14], [-4, -11, -2]]",0.99267578125,0.593505859375,0.99267578125,0.99267578125,0.99267578125,1.0,0.586181640625,T+,T+,T+,0.9957725378644123,0.742282765757108,74.76544728761064,4580.321157975714,173,227,173,227
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, 9, -14, -13, -12, -11, -10, -1]]","[[1, 5], [-5], [-1]]",0.968017578125,0.032958984375,0.032958984375,0.968017578125,0.968017578125,1.0,0.0009765625,T-,T+,T+,0.996878358026748,0.9909356097060168,55.28661639120519,247.3970823230925,398,2,398,2
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[13, -9], [11, 13, -2], [10, 3], [-10, -1]]","[[6, 13, -14, -12, -4, -2], [3, 5, 7, 8, 9, 13, -6, -4], [1, 6, 8, 13, 14, -12, -7, -4], [8, -14, -4, -3], [-13, 6], [9, -11], [1, -6, -10], [-7, 12], [-7, -3, 9], [10, -3, -1], [-12, -4, 5, 14], [-8, 1, 10], [12, 14, -9], [-14, 11, 4, -12], [-8, 2, -14, -3], [-6, -2, -10, -9], [-5, -13, -9], [8, 12, -11], [-8, -7, -2], [1, -6, -11, -7], [9, 2, -5, -1], [-9, -8, -7, -6, 11], [9, 10, -12, 13], [4, -10, 9, 12, -3, -1], [8, 10, 12, 13, -1], [-7, -13], [4, 8, 10, -5, 14], [-8, -6, -13], [2, 12], [1, 11, 7]]",0.986328125,0.6275634765625,0.6275634765625,0.986328125,0.986328125,1.0,0.6138916015625,T-,T+,T+,0.9903622168403916,0.726895945387939,240.90910798199383,4921.415636257685,241,159,241,159
