Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4,16,0.8,3,4.333333333333333,"[[-4], [-2]]","[[4, 6, 7, 10, 11, -9, -8, -5], [1, 6, 10, 11, 12, -14], [9, 13, 14, -11, -10], [5, 11, 12, 14, -3], [2, -13, -10, -9, -6, -5], [3, 11, -14, -13, -9, -8, -7, -5], [6, 10, 12, -14, -9, -3, -1], [3, 6, 11, 13, -8], [4, 5, 13, -11, -10, -9, -7, -3], [7, 10, 11, 12, -8, -6, -5, -3], [3, -12, -10, -6, -1], [1, 7, 9, 11, 13, -6, -5], [6, 9, 11, -7, -5, -3, -1], [7, 8, -9, -6, -5, -3], [2, 4], [2, -12, -9], [1, -13, -3], [-7, 11, 14], [-13, 4, 7], [10, -6, 14, -9], [-14, -5, 4, 13], [1, 6, 10, -11, -9], [-8, 11, -10, -1], [2, 12, -14, -7, -6, -3], [7, 8, 10, 14, -6], [9, 10, -14, -13, -11], [-9, 8, 10, 12, -3, -1], [-14, 5, 7, 9, -6, 13], [-7, 12, 5, 14], [-8, 9, -5, 4], [-8, 11, -12, 5], [-13, 6, -9, 8, -1, 14], [8, 11, -5, 3], [-14, -10, 9, -6, -3, -1], [-7, 2, -1], [4, -1, -9], [8, -7, 2], [6, 13, -14, -12, -10, -1, -3, -2], [9, 2, 6], [-3, -1, 7, -6, -5, 13, 14], [1, -14, -9, 8, 10, -5], [9, 12, 13]]",1.0,0.75,1.0,1.0,1.0,0.75,T+,T+,0.9984314164825527,0.7251245235695941,173,227,173,227
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",4,16,0.8,3,4,"[[10, -11, -2], [-4]]","[[-8, -6, -14, -2], [9, 4], [11, -9], [1, -11, 13], [10, -6, 11, 12], [1, -13, -11, -2], [-8, -7], [2, -13, -12, -5, -7, 10, 11], [8, -14, 7], [8, 1, -11], [2, 4, -11], [-6, -12, -9], [9, 2, -10], [-7, -12, 5], [-14, -3, -10], [-3, -1, 14], [-14, -13, 9, -7, -2], [1, 5, 6], [10, 13, 7], [6, -9, -2, -7, 12, -1], [10, 5, -3], [-13, 4], [1, -12, 5, -8, 10], [3, -5], [9, 5, 14], [-13, 5, 6, -11, 12], [2, 5, -8, -6, 13]]",1.0,0.75,0.75,1.0,1.0,0.75,T-,T+,0.9979104657443106,0.6792189322095941,254,146,254,146
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",10,16,0.6153846153846154,2,7,"[[3, 6, 8, 10, -13, -9, -1]]","[[-13], [13]]",0.875,0.375,0.375,0.875,1.0,0.25,T-,T+,0.9974754582540772,0.9919919239350232,398,2,398,2
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",13,3,0.8125,2,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[6, -4, -14, -11, 8, 5, -3, 2, 1, -9, 10], [-12, 4, 13, 3, 14, -7, -6, 5, -9, 2, 10, -1, 11], [-7, -12, 4, 6, -5, -14, 1, -2, 8, 3], [1, 12, 11, -3, 6, 14, -8, 10, -9], [8, -7, -3, -6], [-7, -1, 14, -5, 9, -10, -8]]",3,16,0.8421052631578947,6,9,"[[4, 9, 12, 13, 14, -10, -8, -7, -5, -3, -1], [8, -7, -6, -3]]","[[-11], [11]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.9953982048809172,0.9811385398834273,394,6,394,6
"[[-11, -5, -7, -14, -3, -10, -12, -8, -9, -13, 1, 4, -6], [2, 9], [-5, 6, -12, -14, 11, -9, 8, 2, 4, 10, 7, -1, 3], [-1, -9, 2, 13, 6, -14, -12, 11, -4]]",7,16,0.6956521739130435,4,9.25,"[[9, 2]]","[[-8, -12, -10], [-8, -5], [6], [-1], [11], [-13], [-9], [-2], [3], [7]]",0.9375,0.5625,0.5625,0.9375,1.0,0.5,T-,T+,0.9987039419707611,0.8951497210202275,356,44,356,44
"[[-3, -1, 6, -10, -4, 13, 7, -12, -9, 14, 11, -8], [7, 3, 1, 8, -5, -4, 14, 12], [12, -14, -8, 13, 2, 1, -7, 11, -3], [-5, 1, -13, -7, 6, 3, 9, 2, 11, 10, -14, 8, -4]]",10,6,0.625,4,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-2, -9, 1, 3, 7, -12, -10, 6, -4, -8, 13], [6, -13, 8, 11, -9, 1, -4, 3, 2, -5, 7], [10, 7, 8, -2, -11, 13, -3], [-5, -12, -6, -11, 2, -7, -14, 10, -3, -8, -13, -4], [11, -3], [12, -9, 2, -11, -4, 13, 14, 3, -6, 5, 8], [4, -3, 9, -12, -2, 11, 13, 1, 6, -10, -14, 8, 7], [-1, 8, 10, -2, 5, -9, -13, 12]]",3,16,0.8421052631578947,8,9.375,"[[11, -3]]","[[-9, 7], [-8], [1], [-10], [-14], [-6], [13], [2], [-11]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.9987180692799278,0.8464236838644151,342,58,342,58
"[[-9, -4, -1, 12, 7, 14, 8, -6, 10, 11], [-6, -9, -14, 2, 11, 5, -7, -10], [-6, 5, 7, -10, -3, -2, 12, 11, -13, 4, 9, -8, -14], [8, 4, -2, -11, -7, 10]]",2,16,0.8888888888888888,4,9.25,"[[4, 8, 10, 12, 14, -13, -11, -7, -3, -2]]","[[7], [-7]]",0.25,0.875,0.875,0.25,1.0,0.125,T-,T+,0.9968814462769271,0.9953048476299935,399,1,399,1
"[[7, 13, 8, 4, -14, 11, -5, -9, 10], [-11, -14, 2, -1, 3, 6, 13, -10, -5]]",7,16,0.6956521739130435,2,9,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,399,0
