Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-1, 2], [-4, -2], [-2, -4, 1]]",8,8,0.5,3,2.3333333333333335,"[[-4, -2], [2, -1]]","[[1], [-1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9945188623461865,0.9441214275003953,22.207059734172006,226.39438666453142,234,166,47,20
"[[1, -3], [4, 3]]",8,8,0.5,2,2,"[[3, 4], [1, -3]]","[[-4], [4]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9945188623461865,0.9465215248143222,22.207059734172006,216.67029145208625,241,159,48,19
"[[4, -2, -3], [-4]]",6,10,0.625,2,2,"[[-3, -2], [-4]]","[[1, -2], [2, -3], [-1], [3]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.916956502767386,19.62209723345085,336.45422174283925,161,239,37,30
"[[-4, -2, 1], [-2, 1, 3]]",13,3,0.8125,2,3,"[[1, 3, -2], [1, -4, -2]]","[[-1], [1]]",1.0,0.8125,0.8125,1.0,1.0,1.0,0.8125,T-,T+,T+,0.9935315839366311,0.9807930727666987,26.207059734172006,77.81767350488946,333,67,62,5
"[[-4, -1, -2], [2, -3, 4], [2, 4, -1]]",11,5,0.6875,3,3,"[[-4, -2, -1], [2, 4, -3], [2, 4, -1]]","[[-1], [1]]",1.0,0.6875,0.6875,1.0,1.0,1.0,0.6875,T-,T+,T+,0.9908574481256692,0.9728490093192815,37.04143344306821,110.0033806794037,316,84,59,8
"[[-1, 4], [-1], [-4, 3, 2]]",7,9,0.5625,3,2,"[[2, 3, -4], [-1]]","[[-4], [4]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9946632425580268,0.9273464534094036,21.62209723345085,294.3588997284668,204,196,39,28
"[[-3, -2, -4], [-1, 2], [3, 1, -4]]",8,8,0.5,3,2.6666666666666665,"[[2, -1], [-4, -3, -2], [1, 3, -4]]","[[-1], [1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9913510873304469,0.9484303840057203,35.04143344306821,208.9364681539234,231,169,49,18
"[[3], [-1], [2, -1, -3]]",4,12,0.75,3,1.6666666666666667,"[[3], [-1]]","[[-2], [2]]",1.0,0.25,1.0,1.0,1.0,1.0,0.25,T+,T+,T+,0.9946548011644958,0.9556674036063116,14.626395943789367,121.3100069848237,137,263,11,15
"[[-1, 2], [-1, 4, -3]]",11,5,0.6875,2,2.5,"[[2, -1], [4, -3, -1]]","[[4], [-4]]",1.0,0.6875,0.6875,1.0,1.0,1.0,0.6875,T-,T+,T+,0.9940252231414087,0.9660378166239316,24.207059734172006,137.59921435480032,309,91,56,11
"[[-1, -3, 2], [3]]",6,10,0.625,2,2,"[[2, -1], [3]]","[[-1], [1]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9939239035659286,0.964598070590024,16.62639594378937,96.87247428196775,194,206,15,11
