minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
2850,0,16,0,0,25600,98059,135,98193,0
2801,1,16,0,0,25600,98059,135,98193,0
2701,1,16,0,0,25600,98059,135,98193,0
2601,2,16,0,0,25600,98059,135,98193,0
2501,2,16,0,0,25600,98059,135,98193,0
2401,2,16,0,0,25600,98059,135,98193,0
2301,6,16,2,2,22805,87669,166,87835,0
2201,6,16,2,2,22805,87669,166,87835,0
2101,7,16,2,2,22805,87669,166,87835,0
2001,11,15,4,4,22750,87504,189,87693,0
1901,13,15,5,5,21205,83467,201,83667,0
1801,18,15,7,7,20202,79364,239,79603,0
1701,19,15,7,7,20202,79364,239,79603,0
1601,31,15,12,12,19651,77902,343,78245,0
1501,34,15,14,14,18513,74725,376,75101,0
1401,43,15,18,18,16428,69537,444,69980,0
1301,52,15,20,20,15917,68334,478,68812,0
1201,68,15,25,25,15044,64931,616,65547,0
1101,82,15,27,27,13969,62610,645,63255,0
1001,104,15,31,31,13631,61597,747,62344,0
901,130,13,41,41,12305,57161,927,58088,0
801,172,14,42,42,11747,54470,1010,55480,0
701,219,14,48,48,10940,52587,1130,53717,0
601,269,14,50,50,10655,52027,1175,53202,0
501,384,13,54,54,10170,50292,1293,51584,0
401,506,15,58,58,8848,46214,1457,47671,0
301,727,15,64,64,7822,42817,1604,44421,0
201,1228,15,68,68,6637,36714,1960,38674,0
101,1508,15,83,83,5104,30352,2464,32817,0
1,3706,14,110,110,3405,19576,4141,23717,0
