Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;AvgAccuracy;StdDev;MaxAccuracy
100;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
99;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
98;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
97;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
96;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
95;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
94;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
93;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
92;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
91;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
90;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
89;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
88;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
87;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
86;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
85;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
84;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
83;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
82;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
81;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
80;117;25;39;3;122;22;39;1;124;26;33;1;118;28;37;1;125;27;31;1;123;25;35;1;121;21;40;2;124;38;19;3;126;32;25;1;127;25;36;1;0.665041;0.145799;0.181030;0.008130;0.8461;0.0275;0.8750
