Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;AvgAccuracy;StdDev;MaxAccuracy
100;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
99;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
98;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
97;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
96;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
95;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
94;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
93;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
92;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
91;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
90;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
89;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
88;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
87;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
86;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
85;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
84;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
83;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
82;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
81;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
80;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
79;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
78;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
77;18;0;17;2;27;0;8;2;30;0;7;0;21;2;14;0;28;0;8;1;22;1;9;5;21;1;11;4;27;2;6;2;20;2;12;3;20;3;9;1;0.639344;0.030055;0.275956;0.054645;0.9153;0.0513;1.0000
