Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;AvgAccuracy;StdDev;MaxAccuracy
100;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
99;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
98;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
97;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
96;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
95;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
94;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
93;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
92;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
91;19;0;15;0;17;2;12;3;19;2;12;1;17;1;16;0;22;3;9;0;21;0;11;2;13;1;18;2;22;0;12;0;17;1;14;2;15;1;13;1;0.541667;0.032738;0.392857;0.032738;0.9345;0.0432;1.0000
