Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;AvgAccuracy;StdDev;MaxAccuracy
100;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
99;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
98;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
97;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
96;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
95;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
94;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
93;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
92;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
91;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
90;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
89;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
88;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
87;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
86;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
85;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
84;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
83;133;24;106;9;132;21;103;16;135;15;107;15;138;23;98;13;132;19;105;16;126;14;113;19;145;24;98;5;135;25;99;13;127;23;102;20;132;16;116;15;0.489549;0.074807;0.383938;0.051705;0.8735;0.0150;0.8934
