Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;AvgAccuracy;StdDev;MaxAccuracy
100;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
99;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
98;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
97;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
96;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
95;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
94;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
93;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
92;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
91;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
90;13;2;0;1;13;2;0;1;14;1;1;0;11;4;1;0;13;2;1;0;13;2;1;0;14;1;1;0;12;2;2;0;12;4;0;0;5;3;2;1;0.774194;0.148387;0.058065;0.019355;0.8323;0.0896;0.9375
