Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;AvgAccuracy;StdDev;MaxAccuracy
100;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
99;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
98;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
97;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
96;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
95;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
94;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
93;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
92;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
91;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
90;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
89;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
88;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
87;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
86;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
85;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
84;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
83;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
82;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
81;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
80;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
79;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
78;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
77;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
76;196;34;85;16;188;34;90;19;189;33;90;19;191;33;93;14;190;30;92;19;196;29;92;14;192;35;86;18;194;27;96;14;192;27;92;20;189;27;99;18;0.578804;0.093297;0.276268;0.051630;0.8551;0.0120;0.8761
