Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;AvgAccuracy;StdDev;MaxAccuracy
90;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
80;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
70;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
60;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
50;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
40;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
30;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
20;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
10;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
0;192;18;93;12;189;18;97;11;196;15;95;9;196;16;92;11;190;17;97;11;186;18;101;10;192;18;94;11;188;17;100;10;191;18;96;10;198;19;95;12;0.607154;0.055081;0.303894;0.033871;0.9110;0.0054;0.9238
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9110;0.0054;0.9238
