Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;AvgAccuracy;StdDev;MaxAccuracy
100;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
99;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
98;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
97;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
96;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
95;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
94;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
93;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
92;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
91;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
90;204;35;76;0;200;33;82;0;203;34;76;2;205;36;72;2;199;35;79;2;195;39;80;1;201;37;75;2;197;41;76;1;199;35;79;2;209;37;77;1;0.636910;0.114593;0.244381;0.004115;0.8813;0.0077;0.8952
