Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;AvgAccuracy;StdDev;MaxAccuracy
90;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
80;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
70;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
60;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
50;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
40;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
30;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
20;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
10;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
0;21;3;12;0;24;2;9;1;17;4;12;3;17;4;14;1;23;2;10;1;27;1;6;2;21;3;11;1;26;2;7;1;22;1;11;2;15;0;12;0;0.606838;0.062678;0.296296;0.034188;0.9031;0.0469;1.0000
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9031;0.0469;1.0000
