Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;AvgAccuracy;StdDev;MaxAccuracy
100;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
99;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
98;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
97;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
96;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
95;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
94;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
93;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
92;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
91;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
90;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
89;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
88;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
87;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
86;404;110;130;47;395;93;145;58;389;102;141;59;399;122;124;46;385;92;149;65;401;103;139;48;385;97;145;64;389;97;139;66;390;113;130;58;395;90;151;57;0.568866;0.147425;0.201534;0.082176;0.7704;0.0106;0.7879
