Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;1+;1-;10+;10-;AvgAccuracy;StdDev;MaxAccuracy
100;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
99;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
98;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
97;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
96;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
95;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
94;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
93;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
92;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
91;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
90;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
89;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
88;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
87;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
86;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
85;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
84;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
83;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
82;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
81;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
80;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
79;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
78;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
77;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
76;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
75;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
74;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
73;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
72;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
71;92;0;67;1;98;1;61;0;96;0;64;0;97;0;63;0;91;0;68;1;98;0;62;0;101;0;59;0;94;1;65;0;94;0;66;0;100;0;62;0;0.599875;0.001248;0.397628;0.001248;0.9975;0.0031;1.0000
