Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;AvgAccuracy;StdDev;MaxAccuracy
100;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
99;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
98;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
97;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
96;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
95;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
94;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
93;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
92;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
91;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
90;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
89;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
88;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
