Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;7+;7-;8+;8-;AvgAccuracy;StdDev;MaxAccuracy
100;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
99;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
98;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
97;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
96;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
95;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
94;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
93;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
92;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
91;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
90;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
89;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
88;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
87;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
86;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
85;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
84;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
83;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
82;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
81;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
80;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
79;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
78;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
77;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
76;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
75;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
74;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
73;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
72;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
71;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
70;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
69;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
68;165;1;127;9;164;4;125;9;163;3;126;10;165;4;122;11;165;8;123;6;161;5;127;9;168;5;119;10;165;6;125;6;167;0;128;7;167;4;125;10;0.545635;0.013228;0.412368;0.028770;0.9580;0.0078;0.9768
