Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;AvgAccuracy;StdDev;MaxAccuracy
100;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
99;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
98;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
97;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
96;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
95;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
94;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
93;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
92;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
91;95;17;8;19;110;18;2;9;103;13;7;16;95;9;6;29;85;15;12;27;108;13;2;16;89;13;14;23;95;13;11;20;96;15;7;21;100;14;9;15;0.702664;0.100792;0.056156;0.140389;0.7588;0.0332;0.8058
