Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;AvgAccuracy;StdDev;MaxAccuracy
100;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
99;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
98;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
97;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
96;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
95;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
94;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
93;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
92;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
91;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
90;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
89;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
88;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
87;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
86;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
85;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
84;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
83;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
82;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
81;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
80;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
79;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
78;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
77;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
76;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
75;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
74;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
73;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
72;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
71;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
70;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
69;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
68;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
67;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
66;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
65;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
64;9;1;9;3;17;2;2;1;7;2;5;8;10;0;9;3;11;4;5;2;10;5;2;5;10;0;9;3;11;1;4;6;6;3;10;3;12;1;2;1;0.481308;0.088785;0.266355;0.163551;0.7477;0.1219;0.8750
