Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;8+;8-;26+;26-;AvgAccuracy;StdDev;MaxAccuracy
100;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
99;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
98;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
97;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
96;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
95;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
94;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
93;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
92;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
91;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
90;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
89;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
88;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
87;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
86;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
85;109;11;19;0;109;22;8;0;108;20;10;1;111;10;17;1;110;12;17;0;110;15;14;0;109;24;6;0;111;20;8;0;110;16;12;1;117;19;8;0;0.791398;0.121147;0.085305;0.002151;0.8767;0.0323;0.9209
