Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;5+;5-;14+;14-;AvgAccuracy;StdDev;MaxAccuracy
100;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
99;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
98;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
97;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
96;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
95;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
94;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
93;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
92;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
91;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
90;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
89;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
88;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
87;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
86;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
85;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
84;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
83;19;7;10;1;24;4;8;1;16;0;13;8;26;6;4;1;21;4;10;2;21;5;10;1;18;8;7;4;20;4;9;4;18;9;8;2;21;0;10;4;0.554348;0.127717;0.241848;0.076087;0.7962;0.0634;0.8857
