Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;AvgAccuracy;StdDev;MaxAccuracy
100;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
99;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
98;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
97;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
96;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
95;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
94;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
93;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
92;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
91;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
90;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
89;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
88;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
87;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
86;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
85;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
84;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
83;93;0;42;0;87;0;48;0;94;0;41;0;87;0;48;0;87;0;48;0;90;0;45;0;89;0;46;0;92;0;43;0;89;0;46;0;92;0;43;0;0.666667;0.000000;0.333333;0.000000;1.0000;0.0000;1.0000
