Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;AvgAccuracy;StdDev;MaxAccuracy
100;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
99;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
98;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
97;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
96;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
95;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
94;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
93;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
92;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
91;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
90;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
89;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
88;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
87;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
86;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
85;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
84;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
83;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
82;49;8;33;6;52;5;33;6;46;3;40;7;52;8;32;4;59;2;22;13;51;5;29;11;74;0;19;3;60;6;24;6;57;9;25;5;56;2;27;9;0.580376;0.050104;0.296451;0.073069;0.8768;0.0360;0.9688
