Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;AvgAccuracy;StdDev;MaxAccuracy
100;220;49;149;68;205;53;159;69;214;52;151;69;218;50;153;65;214;49;159;64;217;54;151;64;221;48;152;65;225;50;154;57;211;46;164;65;212;49;160;65;0.443827;0.102881;0.319342;0.133951;0.7632;0.0089;0.7798
99;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
98;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
97;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
96;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
95;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
94;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
93;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
92;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
91;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
90;288;152;46;0;274;160;52;0;283;153;50;0;283;155;48;0;278;157;51;0;281;159;46;0;286;153;47;0;282;153;51;0;276;158;52;0;277;157;52;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0056;0.6872
