Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;24+;24-;33+;33-;AvgAccuracy;StdDev;MaxAccuracy
100;15;3;27;9;31;3;13;7;20;8;17;9;21;8;17;8;25;8;12;9;23;4;19;8;19;7;21;7;26;8;16;4;25;8;10;11;24;6;13;11;0.424074;0.116667;0.305556;0.153704;0.7296;0.0525;0.8148
99;24;21;9;0;38;13;3;0;29;20;5;0;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0504;0.7593
98;24;21;9;0;38;13;3;0;29;20;5;0;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0504;0.7593
97;24;21;9;0;38;13;3;0;29;20;5;0;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.577778;0.320370;0.101852;0.000000;0.6796;0.0504;0.7593
96;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
95;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
94;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
93;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
92;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
91;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
90;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
89;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
88;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
87;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
86;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
85;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
84;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
83;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
82;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
81;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
80;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
79;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
78;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
77;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
76;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
75;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
74;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
73;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
72;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
71;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
70;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
69;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
68;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
67;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
66;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
65;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
64;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
63;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
62;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
61;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
60;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
59;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
58;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
57;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
56;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
55;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
54;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
53;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
52;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
51;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
50;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
49;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
48;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
47;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
46;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
45;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
44;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
43;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
42;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
41;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
40;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
39;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
38;24;21;9;0;38;13;3;0;28;20;5;1;29;18;7;0;34;16;4;0;31;14;9;0;26;20;8;0;30;20;4;0;36;15;3;0;35;16;3;0;0.575926;0.320370;0.101852;0.001852;0.6778;0.0525;0.7593
