Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;6+;6-;13+;13-;AvgAccuracy;StdDev;MaxAccuracy
100;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
99;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
98;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
97;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
96;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
95;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
94;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
93;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
92;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
91;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
90;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
89;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
88;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
87;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
86;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
85;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
84;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
83;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
82;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
81;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
80;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
79;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
78;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
77;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
76;225;4;91;9;213;4;100;12;218;3;102;6;227;6;90;6;222;7;97;3;217;3;99;10;229;4;96;0;218;2;102;7;225;3;95;6;230;4;96;3;0.675167;0.012143;0.293868;0.018822;0.9690;0.0099;0.9878
