Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;4+;4-;20+;20-;AvgAccuracy;StdDev;MaxAccuracy
100;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
99;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
98;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
97;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
96;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
95;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
94;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
93;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
92;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
91;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
90;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
89;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
88;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
87;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
86;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
85;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
84;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
83;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
82;922;110;83;135;941;105;93;111;952;118;80;100;917;106;97;130;892;87;104;167;952;122;81;95;877;82;109;182;931;106;88;125;939;108;88;115;911;98;97;145;0.738661;0.083353;0.073594;0.104392;0.8123;0.0126;0.8272
