Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;2+;2-;10+;10-;AvgAccuracy;StdDev;MaxAccuracy
100;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
99;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
98;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
97;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
96;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
95;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
94;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
93;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
92;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
91;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
90;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
89;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
88;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
87;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
86;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
85;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
84;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
83;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
82;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
81;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
80;116;6;60;10;112;6;66;8;113;13;56;10;107;4;63;18;116;7;60;9;109;5;64;14;115;9;58;10;108;5;66;13;120;8;55;9;108;6;67;17;0.583593;0.035826;0.319315;0.061267;0.9029;0.0150;0.9271
