Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;10+;10-;16+;16-;AvgAccuracy;StdDev;MaxAccuracy
100;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
99;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
98;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
97;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
96;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
95;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
94;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
93;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
92;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
91;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
90;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
89;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
88;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
87;19;3;6;3;12;4;11;4;12;4;13;2;13;8;10;0;10;6;9;6;15;3;9;4;11;3;14;3;13;2;13;3;16;2;12;1;10;0;7;7;0.432343;0.115512;0.343234;0.108911;0.7756;0.0751;0.9032
