Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;12+;12-;36+;36-;AvgAccuracy;StdDev;MaxAccuracy
100;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
99;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
98;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
97;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
96;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
95;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
94;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
93;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
92;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
91;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
90;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
89;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
88;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
87;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
86;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
85;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
84;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
83;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
82;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
81;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
80;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
79;21;6;9;0;25;4;7;0;20;6;10;0;18;6;12;0;23;4;8;1;28;2;5;1;22;6;8;0;26;2;7;1;23;2;10;1;15;4;8;0;0.629630;0.119658;0.239316;0.011396;0.8689;0.0356;0.9167
