Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;AvgAccuracy;StdDev;MaxAccuracy
100;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
99;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
98;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
97;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
96;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
95;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
94;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
93;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
92;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
91;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
90;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
89;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
88;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
87;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
86;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
85;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
84;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
83;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
82;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
81;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
80;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
79;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
78;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
77;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
76;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
75;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
74;88;3;44;0;91;3;41;0;88;3;44;0;92;3;40;0;90;0;45;0;91;3;41;0;93;3;39;0;89;3;43;0;88;3;44;0;90;3;42;0;0.666667;0.020000;0.313333;0.000000;0.9800;0.0067;1.0000
