Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;0+;0-;5+;5-;AvgAccuracy;StdDev;MaxAccuracy
100;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
99;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
98;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
97;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
96;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
95;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
94;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
93;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
92;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
91;12;0;3;0;9;0;6;0;12;0;3;0;8;0;7;0;9;3;2;1;9;1;5;0;7;0;8;0;11;0;4;0;10;0;3;2;10;0;5;0;0.646667;0.026667;0.306667;0.020000;0.9533;0.0846;1.0000
