Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;AvgAccuracy;StdDev;MaxAccuracy
100;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
99;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
98;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
97;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
96;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
95;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
94;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
93;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
92;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
91;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
90;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
89;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
88;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
87;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
86;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
85;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
84;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
83;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
82;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
81;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
80;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
79;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
78;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
77;2459;28;273;120;2482;40;271;87;2457;45;279;99;2475;38;276;91;2470;34;280;96;2480;41;278;81;2437;35;287;121;2481;38;274;87;2440;38;274;128;2456;38;283;103;0.855451;0.013021;0.096354;0.035174;0.9518;0.0048;0.9576
