Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;8+;8-;9+;9-;AvgAccuracy;StdDev;MaxAccuracy
100;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
99;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
98;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
97;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
96;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
95;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
94;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
93;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
92;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
91;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
90;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
89;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
88;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
87;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
86;42;14;14;7;42;18;12;5;43;12;13;9;42;8;14;13;39;9;18;11;43;15;11;8;41;13;13;10;39;18;14;6;42;12;13;10;35;11;16;13;0.531250;0.169271;0.179688;0.119792;0.7109;0.0185;0.7403
