Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;AvgAccuracy;StdDev;MaxAccuracy
100;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
99;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
98;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
97;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
96;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
95;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
94;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
93;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
92;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
91;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
90;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
89;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
88;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
87;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
86;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
85;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
84;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
83;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
82;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
81;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
80;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
79;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
78;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
77;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
76;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
75;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
74;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
73;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
72;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
71;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
70;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
69;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
68;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
67;547;8;283;24;539;10;284;29;559;2;287;14;546;4;288;24;478;30;278;76;541;18;280;23;538;4;309;11;540;41;261;20;549;15;283;15;539;2;301;22;0.623521;0.015542;0.331014;0.029923;0.9545;0.0297;0.9826
