Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-1, 5], [-8, -6], [-3, -5, 14], [-12, 13, -10], [6, 8, -9], [9], [-5, 1, -9], [-14, -13, -11], [4, -12], [10], [-13], [-2], [-8, -2, -5]]",112,16272,0.9931640625,13,2.1538461538461537,"[[-7, -2, 1], [8, 3, -12, -9], [-8, -14, 4, -12], [1, 2, -6, -4], [-8, 5, -1, 6], [8, 9, -5, -4], [12, 6, -10], [10, 11], [-13, -3], [5, -10]]","[[2, 3, 7, 8, 12, 13, 14, -11, -9, -6, -4, -1], [2, 4, -9, -6, 12, -3, 15], [-15, -11, -10, 7, 8, -1], [7, 11, 13, -15, -14, -10, -5, -1], [1, -14, -15, 5, 8, -7]]",0.809814453125,0.088134765625,0.809814453125,0.809814453125,0.809814453125,0.2904761904761905,0.2435302734375,T+,T+,T+,0.9609268257084056,0.9603003305771275,203.11077055057277,206.36742709734978,4,96,4,96
"[[9, -10, 5], [4, 5, -3], [5, -8, -2], [14], [14, -9, 11], [14], [10, 7, -14], [13, 6, -2], [14, -4], [12], [6]]",1056,15328,0.935546875,11,2.1818181818181817,"[[-8, 10, 11], [12, -10, -1, 6], [-7, -6, 5, 1], [1, 4, -14, -12, -9], [-8, -13, -4, -3], [1, 12, 13, -2], [-13, 4, -9], [2, 7, 10, 13, -14, -12, -11, -6, -4, -1], [8, 3, 14, -9], [-13, 6], [-3, -10], [9, -4]]","[[2, 3, 8, 11, -14, -13, -12, -9, -7, -5, -4], [1, 3, 4, 7, 9, 11, 13, -14, -12, -8, -5], [3, 13, -14, -10, -9, -7, -6], [1, 8, 10, -14, -12, -6, -4, -3]]",0.768310546875,0.065673828125,0.768310546875,0.065673828125,0.065673828125,0.09810874704491726,0.20654296875,T+,T-,T-,0.9348447106225081,0.9647258918163026,338.6912189971427,183.3624071647623,8,92,8,92
"[[11], [-3, 1], [-12], [5], [-8, 10, -3], [-3, 14, -6], [-3, -1, -8], [11, -6], [-9], [12, 2], [-3, 4]]",280,16104,0.98291015625,11,1.9090909090909092,"[[-7, -2, 1], [2, -4, 14], [4, 9, -14, -12, -8], [-5, 6, 7], [-8, -6, 11, -1], [1, 3, -10, -9], [-13, 6, -1], [-14, 5], [2, -10], [3, -4]]","[[7, 8, 9, 10, 12, 14, -13, -11, -5, -4, -3]]",0.802490234375,0.0174560546875,0.802490234375,0.0174560546875,0.0174560546875,0.023578811369509043,0.18896484375,T+,T-,T-,0.9618111552175633,0.9887871868392435,198.5138354081855,58.28661639120519,1,99,1,99
"[[-6, 10, 11], [7, 11, 2], [-4], [-12, 11], [-14, -12], [1, -3, 8], [-9, -10], [-6, 5], [-4, -9], [-14], [-7], [6, -1]]",362,16022,0.9779052734375,12,2,"[[-7, -2, 1], [1, 3, -10, -9], [-6, -3], [-14, 4], [-1], [-4]]","[[4, 6, 7, 14, -5, -3, -2]]",0.9476318359375,0.0277099609375,0.9476318359375,0.0277099609375,0.0277099609375,0.28958333333333336,0.05859375,T+,T-,T-,0.9810993241748368,0.9914254472522039,98.249781349383,44.57237087353907,2,98,2,98
"[[3], [6, 13], [1, -14, 5], [9, 3], [1], [12, 2, 5], [-9], [-6, 13], [2, 12], [-12, -11], [10, -7, 11], [1]]",416,15968,0.974609375,12,1.9166666666666667,"[[-7, -2, 1], [2, 12, -1], [8, 3, -12, -9], [1, -11, 14, -10], [-8, -13, 5], [13, -10, 7], [1, -6, -4, 5], [-8, -14, -12], [10, 3, -4], [4, -9]]","[[5, 6, 8, -10, -7, -3, -1], [7, 9, 10, 14, -13, -5, -3], [7, 11, -8, -6, -4, -3, -1]]",0.76318359375,0.0401611328125,0.76318359375,0.0401611328125,0.0401611328125,0.09664496745117676,0.2437744140625,T+,T-,T-,0.9608785280231441,0.9775837340343876,203.36183231474047,116.52457563760298,7,93,7,93
"[[9, -14], [12, 11, -4], [10, 13], [-2], [-1, 9, 8], [4, -11], [10], [8], [-14, -3, 2], [11, -14]]",704,15680,0.95703125,10,2,"[[-14, 4, 5, -9], [-7, 1, -2], [8, 2, -1, -10], [10, -13, 14, 7], [-14, 2, -6, 13], [-8, -14, -13], [1, 4, 14, -10], [9, 3, -4, -7], [3, -14, -5, -12], [-3, -13, -10, 7, 12, -4], [-8, 10, 11], [11, -5, 6], [8, 14]]","[[-8, 2, 14, -10]]",0.76898193359375,0.02734375,0.76898193359375,0.02734375,0.02734375,0.052561008313220706,0.22760009765625,T+,T-,T-,0.944498347241673,0.9938285514890439,288.50953788515767,32.0805177772094,4,96,4,96
"[[-8, 11], [-4, -1, 6], [1, 9], [14], [-12, 14], [-9], [2], [5], [-6, -3], [6, -9], [10], [-13, -10, 2]]",96,16288,0.994140625,12,1.75,"[[-7, -2, 1], [2, 3, -4, 7], [1, 3, -10, -9], [8, -1], [11, -5], [5], [-3]]","[[3, 4, 6, 9, -14, -13, -12, -11, -10, -2, -8, -5, -1]]",0.9404296875,0.0057373046875,0.9404296875,0.0057373046875,0.0057373046875,0.023758099352051837,0.0565185546875,T+,T-,T-,0.9767091200563045,0.9879051605516888,121.07100735817465,62.87157889192635,1,99,1,99
"[[-14, -13], [-14], [-11], [-3, 5, 9], [-14, 5], [-1, 3], [12, 6], [-3, -8], [-11], [-7, 1], [2], [1], [3, -11, 6]]",144,16240,0.9912109375,13,1.7692307692307692,"[[-14, 4, 5, -9], [-7, -2, 1], [1, 14, -10], [-13, 5, 6, -1], [-8, -14], [-6, 11], [8, 2], [-4]]","[[4, 6, 8, 10, 11, -13, -9, -5, -1], [6, 7, 9, -12, -5, -3]]",0.88720703125,0.025146484375,0.88720703125,0.025146484375,0.025146484375,0.12130801687763713,0.11572265625,T+,T-,T-,0.9610757804549825,0.9838759880056173,202.33647171504344,83.81608507426228,3,97,3,97
"[[-2, 1], [-6, -11, 2], [-7], [-14, -11, 2], [-8, 6], [2, -1, -13], [10, -14, -4], [-13, -9, -12], [-7], [2, 14], [-12], [7, 11], [12, 5]]",168,16216,0.98974609375,13,2.1538461538461537,"[[-7, -2, 1], [2, -4, 14], [4, 9, -14, -12, -8], [-5, 6, 7], [-8, -6, 11, -1], [1, 3, -10, -9], [-13, 6, -1], [-14, 5], [2, -10], [3, -4]]","[[7, 8, 9, 10, 12, 14, -13, -11, -5, -4, -3]]",0.811767578125,0.010498046875,0.811767578125,0.010498046875,0.010498046875,0.029715762273901807,0.18896484375,T+,T-,T-,0.9618111552175633,0.9887871868392435,198.5138354081855,58.28661639120519,1,99,1,99
"[[5], [1, 3, 10], [5, -9], [7, 5, -11], [9, 1, -7], [8, -4], [-3], [-2, 9], [-8, 7, 3], [6, 9], [2, -8, 4]]",784,15600,0.9521484375,11,2.272727272727273,"[[8, -1, 7], [9, 4, -7], [1, -6, 5], [-8, 3, -9], [-8, 7], [-2], [-4], [6]]","[[1, 4, 6, 7, 8, 11, -10, -9, -5, -2], [2, 3, -10, -6, -5]]",0.9365234375,0.0595703125,0.9365234375,0.0595703125,0.0595703125,0.46078431372549017,0.0498046875,T+,T-,T-,0.9462503713683265,0.9808045603389289,204.56449051883675,73.05548772179131,4,96,4,96
"[[7, -10], [6, 11], [-8, 12], [8], [8, 1, 10], [-14], [-11], [12, 11, -7], [-14, -11], [-3]]",192,16192,0.98828125,10,1.8,"[[8, -13, -9], [2, 7], [-7, 3, -4], [-8, 11], [-3], [4]]","[[3, 10, 11, -12, -4, -2]]",0.94921875,0.0234375,0.94921875,0.0234375,0.0234375,0.22,0.048828125,T+,T-,T-,0.9702471096093689,0.9799077289607719,154.66192862267206,104.44394976546542,2,98,2,98
"[[2], [6, -7, -3], [-8], [9], [3], [7, -13], [-8], [12, -1, -7], [-1, 12], [-5, -10, 2], [7, -8], [-11, -9, 12]]",320,16064,0.98046875,12,1.9166666666666667,"[[-8, 4, -10], [10, 3, -11, -2], [-8, 9, 2, -3], [-5, 13], [12, 7], [8, -12], [-4]]","[[1, 5, 8, 11, 12, -13, -10, -9, -7, -6, -3, -2]]",0.88525390625,0.019287109375,0.88525390625,0.019287109375,0.019287109375,0.006313131313131313,0.0966796875,T+,T-,T-,0.9739939685923775,0.9877591109543498,122.75109528649787,57.778232829236494,1,99,1,99
"[[6], [1], [-5], [-2], [-4, 10, 7], [-2, 10, 14], [-5, 1], [-4], [4, -14], [-5, 9], [14, 12], [2, 1, -8], [8, 14]]",64,16320,0.99609375,13,1.8461538461538463,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,100,0,100
"[[-14], [-4, -8], [-13, 7, 1], [-6, 14], [-10, -9], [9, -10], [4, -1], [-3], [4], [-11, 1, 12], [11, -5]]",144,16240,0.9912109375,11,1.9090909090909092,"[[-7, -2, 1], [9, -13, -3, 14], [2, 3, -4, 7], [5, 6, -13, -8, -1], [12, 14, -11, -5, -3], [1, 3, -10, -9], [-6, -4, 5], [11, -5], [-8, 11], [-14, 4], [2, -10]]","[[3, 8, 9, 10, -12, -7, -5, -4]]",0.830322265625,0.01171875,0.830322265625,0.01171875,0.01171875,0.0450070323488045,0.173583984375,T+,T-,T-,0.9449454681150266,0.990693012226448,286.18530734175795,48.37972579559668,2,98,2,98
"[[3, 10], [13, 5], [-6], [-6], [12, 11, 13], [-6], [-12], [-1, 8], [1], [6, -2, 1]]",480,15904,0.970703125,10,1.7,"[[-6, -1, 7], [8, -5, 13], [1, -4, -11], [-8, 4, -10], [3, 10, -11, -1, -2], [1, 10, 2, -3], [9, 12, 5, -10], [-4, 13, -2, 7], [2, 3, -5], [8, -13]]","[[2, 9, 10, 11, 12, -13, -8, -7, -4, -3], [6, -9, -7, -4, -3, -1]]",0.7607421875,0.04052734375,0.7607421875,0.04052734375,0.04052734375,0.08041237113402062,0.23681640625,T+,T-,T-,0.9561790639688394,0.9821761448148079,206.8392447118203,84.13039698048566,4,96,4,96
