Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[9, 13, 2, -8, 14, 6, -11, -10, 1, 12, 5, -4], [-4, 7], [-9, -2, 13, 8, -7]]",6588,9796,0.597900390625,8,7.625,"[[8, 13, -2, -9], [-4, 7]]","[[3, 6, 14], [-3, 6, -2], [-12, -11, -9], [8, 9, 10, -12, -4], [8, 3, -12, -2], [11, 13, -1, -9], [2, 9, 10, 12, -1], [1, 2, 10, -3], [-14, -10, -8, -6, -3], [5, 14, -11, -9, -6], [8, 2, 6, -1], [1, 3, 10, 12, 13, -14, -8, -4, -2], [-6, 11, -3], [4], [-7]]",0.9842529296875,0.1988525390625,0.1988525390625,0.9842529296875,0.9271070615034168,0.21435546875,T-,T+,0.9896673400525924,0.8604461749667857,300,100,300,100
"[[-12, -14, 4, 6, -2], [-13]]",4096,12288,0.75,3,4.333333333333333,"[[4, 6, -14, -12, -2], [-13]]","[[6, 8, 9, 11, -14, -12, -7, -5, -3], [1, 7, -14, -12, -10, -8, -6, -5, -3, -2], [1, 3, 5, 9, 11, 12, -14, -10, -7, -6, -4], [2, 3, 7, -14, -10, -9, -8, -5, -4, -1], [3, 4, 6, 11, 14], [5, 10, -8, -6, -2], [8, 2, -4, -3], [9, 11, 12, -8, -7, -6, -1], [1, 5, 6, 12, -2], [3, 8, 9, -5, -4], [7, 9, -11, -8, -1], [7, 8, 12, -9, -6, -3], [8, -7, 5, -9], [3, 10, 11, -14, -5], [4, 7, 10, 12, -9, -8], [1, 7, 14, -10, -9], [1, 2, -14, -13, -7, -4], [13]]",1.0,0.19866943359375,0.19866943359375,1.0,1.0,0.19866943359375,T-,T+,0.9977805481244709,0.8825201926075799,212,188,212,188
"[[2, 7, -9, -12, -11, 1, 14, -13, 10, 8], [5, 6, -8, -1, 14, -11, 10, -3, 2], [-14, 2, -1, -9, 3, -10, -13], [-4, -14, -2, -5, -3, -1, 7, 10], [-7, 11, 12, 2, -10, -13], [-7, 3, -5, 9, -12, 1, 10, -8, -2, 4, 6, -14], [6, 1], [-1, 2, -3, -11, -6, -10]]",4096,12288,0.75,4,5.5,"[[2, 3, 5, 8, -14, -13, -12, -11, -10, -9, -4, -1], [7, 9, 10, 13, -14, -12, -2, -8, -6, -5, -4, -3, -1], [2, -11, -10, -6, -3, -1], [2, 5, 9, -13, -10, -7, -3], [3, 6, -14, -13, -10, -9, -7], [1, 6]]","[[-5, -10, 7], [-7, -14, -5], [10, -3, 7], [1, -4, -3, -7], [-8, 4, -12, -2], [1, -14, 4, 7], [9, -4, -2], [3, 14, -9], [11, -3, 6, -13], [2, -11, 6, -9], [-6], [-1]]",0.97344970703125,0.2357177734375,0.2357177734375,0.97344970703125,0.9755759089647515,0.21990966796875,T-,T+,0.9887959004619009,0.8350102120014273,316,84,316,84
"[[-8, -2, -12], [-14, -8, -3, 13, 7, -11, 5, -10, -6], [6, -4, -2, 13, -3, 7, 1, -14, 9, 11, -10, -5, -12], [-1, -7, -5, -6, 13, 3, -11, -4, 12, 8], [8, -12], [6, 13, 12], [-12, 6, 8, -10, -2, 13, 1, -14, -3]]",6110,10274,0.6270751953125,4,6,"[[12, 13, 6], [2, 8, 10, 13, -11, -7, -5, -1], [8, -12], [-12, -2]]","[[4, 5, 6, 9, 10, -14, -13, -11, -2, -8, -7, -1], [1, 2, 10, -14, -7, -4, -3], [-8, 2, -12], [2, -3, -10], [1, 3, 14, -9], [2, 9, 10, -6, -5, -1], [-7, 12, -10, -2], [-8, 4, 6, -9], [3, -4, -1, -5], [8, 11, 12, -3], [4, 9, 13, -14, -8], [10, -14, -13, -9, -3, -2], [-8, -6, -13, -4], [14, -8, -7, -4, -2], [1, 3, -14, -10, -7, -4], [10, 11, 13, -14, -6, -1], [2, 5, -13, -12, -9, -4], [1, 7, 8, 9, -5], [4, 6, 11, -9, -5], [-6, 14, 7], [-6, 12], [-13, 12]]",0.9970703125,0.27203369140625,0.27203369140625,0.9970703125,0.9972930295510941,0.27056884765625,T-,T+,0.992341804450674,0.8445510886117856,232,168,232,168
"[[-11, -5, -4, -14], [-1, 13, -9, 14, -11, -2, -3, -6, -8, 4, -5]]",7104,9280,0.56640625,3,4,"[[4, 13, 14, -12, -11, -2, -9, -8, -7, -6, -5, -10, -3, -1], [-14, -5, -4, -11]]","[[-5, -12], [12, -3], [5], [3]]",0.99957275390625,0.06298828125,0.06298828125,0.99957275390625,1.0,0.06256103515625,T-,T+,0.9957927586877746,0.9632875855555644,387,13,387,13
"[[2, -8, 1], [13], [14, 2, 13, 10, 3, -8, 11, 6, -5, 1], [7, -9, -3, -10, 1, -12, 14, 11], [-10, -6, 4, 13, -2, -11, -3, 8, 14, 5, -1], [-1, 12, -3], [-4, -5, -10, -7, -13, 6], [4, 1, -8, -5, -12], [-7, 4, 11, 14]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-7, 11, 4, 14], [6, -14, -9, -7, -5], [1, 4, 11, -12, -8, -5], [11, 14, -10, -9, -7, -3], [12, -3, -1], [-8, 1, 2], [13]]","[[2, 3, 7, -14, -10, -9, -8, -5, -4, -1], [1, 2, 10, -14, -7, -4, -3], [-14, -13, -12], [3, 14, -13], [9, -13, -3, 14], [1, 8, 12, -9, -3], [4, -12, -11, -8, -1], [1, 2, 8, 14, -12, -11, -4], [4, 6, 7, -9, -2], [5, -8, -6, -4, -2], [6, 12, -7, -4, -2], [1, 3, 5, 12, -10], [4, 6, 10, -9, -5, -1], [3, 5, -12, -11, -9, -4, -1], [3, 7, 9, 12, -5, -1], [-14, -12, -6, -5, -2], [-13, -12, -10, 7], [-14, -12, 6, -7, 11, -3], [8, 9, -5, 3], [2, 6, 8, 13, -14, -12, -10, -4, -3, -1], [4, 9, 11, 12, 13, -14, -10, -1, -8, -6, -2], [2, 6, 7, 9, 10, 12, -14, -11, -8, -1], [4, 10, -14, -9, -6, -5, -3, -2], [-7, -13, 5]]",0.9766845703125,0.3232421875,0.9766845703125,0.9766845703125,0.9725,0.3173828125,T+,T+,0.9808969574782286,0.8452684926679411,171,229,171,229
"[[-14, -3, -10, -8, 7, -12, 9, -2, 5], [7, 4, -1, 2, 5, -6, 12, 3], [5, 2, -12, 7], [1, -2, 12, -9, 10, 5, -3, -13, -7]]",3968,12416,0.7578125,5,4.2,"[[2, -12, 5, 7], [4, 5, 7, 9, -11, -8, -6]]","[[10, -5, -3], [4, 6, 14], [8, 9, -4, 14], [2, -13, -12, -9, -4], [-6, 5], [12], [3], [-14], [-10]]",0.98779296875,0.0732421875,0.0732421875,0.98779296875,0.928082191780822,0.0712890625,T-,T+,0.9967235781346955,0.9538075708552792,383,17,383,17
"[[-11, -6, 8, -3, 10, 1, -4], [2, -10, -5, -8, 7, -4, -13, -14, 1, 9, 6, -12, -11], [-14, -11, -6, 13, -2, 8, 10], [-7, -13, -5, -4, -14, -12, 3, 1, 10, 11, 6, 2], [-10, -2, 1, -7, -12, -11, 5, 3, -9, -8], [2, -10, 11, -14, -9, -12, -5, 1, 4, 7, 6, 13, 8], [-2, 5, -13, 11, 7, -14, -10, 3], [-4, 10, -14, -12, -5, -7, -13, 8]]",15844,540,0.967041015625,2,7,"[[1, 3, 4, 5, -14, -13, -10, -9, -2], [1, 8, 10, -12, -7, -6, -4, -3]]","[[-8], [8]]",0.9761962890625,0.0235595703125,0.0235595703125,0.9761962890625,0.4791666666666667,0.005859375,T-,T+,0.9925003250214923,0.9879290534703572,396,4,396,4
"[[6, -2, -11, -8, -7, -3, 12, -1, 10, -4, 13], [9, 12, 14, 7, -6, -13, -8, -11, 1, -10, 4, 5, -3]]",16360,24,0.99853515625,2,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[6, -13, -7, 9, -8, 5, -2, -1, 4], [14, -8, 6, 5, -7, 13, 2], [8, -11, 6, 14, 5, 10, 1, 4, -3, -12, 2]]",5408,10976,0.669921875,9,5.222222222222222,"[[4, 5, 6, 9, 10, -13, -11, -1, -8, -7, -2]]","[[-14, -9], [14], [9]]",0.990234375,0.01025390625,0.01025390625,0.990234375,1.0,0.00048828125,T-,T+,0.99718878018308,0.9923536006661661,398,2,398,2
