Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-12, -4, 14], [-7, 6], [-8, 9, -13, 14], [-6, -9]]","[[1, 8, 10, 11, 12, -14, -13, -7, -4, -3], [2, 3, 14, -11, -10, -8, -7, -6], [5, 8, 11, 12, 14, -13, -2, -10, -7, -6, -3, -1], [4, 6, 8, 10, 11, -13, -9, -5, -1], [2, 4, 11, -13, -10, -9, -8, -5, -3, -1], [1, 2, 3, 5, 8, 9, 12, 14, -13, -7, -4], [1, 3, 8, 11, 12, 14, -13, -10, -9, -5, -4, -2], [1, 2, 3, 4, 10, 12, 14, -13, -11, -9], [1, 2, 3, 4, 11, 12, 14, -13, -10, -9, -8], [2, 3, 6, 8, 11, 13, -12, -10, -1], [2, 3, 5, -13, -12, -11, -9, -4, -1], [7, 11, 12, -13, -8, -6, -4, -3, -1], [1, 2, 10, -14, -7, -4, -3], [3, 4, 10, 11, 12, 14, -13, -2, -7, -6, -1], [1, 4, 5, 10, 12, -13, -11, -8, -7, -6, -2], [2, 4, 5, 8, 10, 14, -13, -12, -7, -6, -1], [2, 3, 4, 5, 6, 8, 11, 14, -13, -12, -10], [9, 10, -5], [8, 12, 13, -10], [1, 4, 5, 8, 10], [8, 10, -3, 7], [2, 13, -10, -3, -1], [1, 3, 7, 12, -2], [2, 5, -14, -11, -1], [5, 9, 12, -8, -3], [6, -14, -12, -11, -9, -4], [2, 11, -14, -6, -3], [1, 2, 7, 8, 11], [3, 7, 14, -8, -1], [6, 10, 14, -13, -9, -3], [1, 2, 4, 9, -11, -10], [4, 12, 13, -14, -6], [3, 10, 12, 13, -8], [3, 9, 13, -12, -1], [-5, -4, -10, 7], [1, 4, 10, 11, -14, -13], [2, 7, 10, 11, -12, -6], [1, 4, 5, 7, 14], [1, 4, 10, -14, -13, -11, -7, -6, -5], [1, 4, 5, 10, -14, -13, -11, -9, -7, -3, -2], [1, 2, 3, 4, 5, 6, 11, 14, -10, -9, -7], [4, 5, -13, -11, -1, -7, -6, -3, -2], [-8, -12, 7], [2, 5, 7, 11, -14, -12, -10, -9], [-13, -11, 8, -4, -1], [3, 4, 8, 9, 11, 12, -14, -13, -7], [-5, -12, -2, -1], [9, -6], [1, 5, 8, 11, 12, -14, -10, -9, -7, -3], [1, 4, 11, 13, -14, -9, -8, -7, -5, -3], [6, 7]]",0.999755859375,0.36865234375,0.36865234375,0.999755859375,0.999755859375,1.0,0.368408203125,T-,T+,T+,0.9961984693383215,0.7819740621755593,194.63311265295752,11162.626503481473,504,496,504,494
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-2], [-4]]","[[1, 5, 9, 10, 12, -13, -11, -8, -7, -6, -3], [1, 4, 10, -14, -13, -12, -11, -8, -7, -6, -5], [2, 4], [9, 2, -13, -1], [-6, 4, 7], [3, 12, -13, -11, -9, -6], [2, 8, 13, -12, -10], [1, 6, -12, -9, -8, -3], [2, 10, 13, 7], [1, 4, 13, -7, -6, -5, -3], [4, 5, 8, 12, -11], [2, 5, 9, -7, -3], [10, 11, 12, -13, -9, -6], [13, 10, 4, -11], [3, 4, 11, 13, -10, -1], [5, 7, -13, -12, -8, -6], [6, -12, -7, -5, -3], [2, 3, -11, -8, -6], [13, 8, 9, -6, 11, 12, -3], [1, -13, 4, -10, 14], [2, 5, 8, 10, -13, -11, -9, -7, -6, -4], [1, -14, 3, 4, -12], [7, 9, 10, 11, 13, 14, -12, -5], [-9, 6, -1]]",1.0,0.35736083984375,1.0,1.0,1.0,1.0,0.35736083984375,T+,T+,T+,0.9991113401131932,0.8634227738833933,27.950393783825064,4295.667339704558,305,695,304,694
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[9], [-8]]","[[1, 2, 7, 8, 11, 12, 13, -14, -4], [3, 4, 5, 8, 12, 13, -14, -11, -7, -6], [1, 4, 12, 13, -14, -11, -7, -6, -5, -3], [1, 2, 10, -14, -7, -4, -3], [1, 4, 5, 7, 12, 14, -13, -11, -10, -3], [8, -9], [8, 10, 4], [10, -13, -11, -9], [-4, 5, -10, 6], [13, -12, 5, -9], [8, 11, 12, -10, -1], [2, 11, -13, -12, -7], [-6, 13, 14, 7], [3, 6, 8, 13, -12], [4, 10, 12, -7, -1], [1, 8, 10, 11, -14, -3], [1, 3, 12, -14, -9], [4, -9, -6, -5, -3, -2], [4, 5, 8, 14, -13, -12], [2, 6, -14, -11, -5, -3], [2, -13, -12, -9, -1], [-5, -9, -10, -1], [2, 8, 9, 13, -14, -12, -11, -7, -6, -3]]",1.0,0.33355712890625,1.0,1.0,1.0,1.0,0.33355712890625,T+,T+,T+,0.9991490514068042,0.8620092414156658,27.950393783825064,4532.466557675145,318,682,318,680
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [1, 2, 4, 6, 7, 11, -14, -13, -10, -8, -3], [8]]","[[3, 5, 9, 10, 12, 14, -13, -11, -7, -6, -4, -1], [2, 3, 6, 10, -14, -13, -12, -11, -9, -5, -4, -1], [1, 2, 7, 10, 11, 13, 14, -12, -6, -3], [2, 3, 5, 6, 9, 10, 12, 13, -7, -4, -1], [1, 3, 4, 5, 7, 11, 12, -14, -13, -10, -9, -2], [9, 10, 11, 12, 14, -7, -6, -5, -4, -3, -1], [1, 2, 4, 6, 13, -14, -11, -9, -7, -5, -3], [2, 3, 5, -13, -12, -11, -9, -4, -1], [7, 11, 12, -13, -8, -6, -4, -3, -1], [1, 2, 10, -14, -7, -4, -3], [3, 4, 10, 11, 12, 14, -13, -2, -7, -6, -1], [-8, 10, 5], [-8, 1, -2], [2, 9, -14, -12, -11, -3], [2, 3, 4, 9, 13, -5], [5, 11, -14, -7, -4], [5, -11, -1, -3, -2], [12, -14, -10, -9, -5, -1], [2, 10, -13, -7, -5], [6, 13, -8, -5, -4], [5, 8, 11, 13, -12, -9, -7, -6, -4, -3], [5, 8, 9, 11, 14, -13, -12, -6, -3, -1], [3, 8, 11, 13, -14, -12, -9, -7, -5, -4, -1], [6, 7, 8, -14, -13, -12, -11, -5, -4, -3], [5, 7, 8, 9, 12, 14, -13, -11, -6, -4, -3], [5, 6, 8, 13, 14, -12, -11, -7, -4, -3], [5, 6, 8, 12, 14, -13, -11, -7, -4, -3, -1], [9, 11, -1, 7], [1, 4, 12, 13, 14, -10, -6, -3, -2], [1, 3, 10, 14, -13, -12, -5, -4, -2], [4, 12, 13, -14, -6, -5], [3, 4, 6, 9, 13, -10], [5, 7, -12, -3, -1], [6, 7, 9, -13, -5], [2, 12, -11, -8, -6], [1, 3, -13, -11, 12], [4, 5, -10, 7, -3, 14], [-13, 4, -12, 7, 14], [2, 13, 5, 9, -6, 11, -3], [-14, -13, 4, -7, 10], [-8, 9], [-8, -14], [-8, 2, -10], [3, 6, -5, -1, -7, 11, -2]]",0.9979248046875,0.28515625,0.9979248046875,0.9979248046875,0.9979248046875,0.9991390443392165,0.2835693359375,T+,T+,T+,0.9875130911980182,0.8668242879800073,569.111722389525,6069.70548516546,442,558,440,558
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[11, 13, 14, -8, -1], [10, -11, -2], [-4]]","[[2, 3, 14, -11, -10, -8, -7, -6], [1, 2, 7, 10, 11, 13, 14, -12, -6, -3], [1, 3, 6, 7, 8, 10, 14, -13, -12, -9, -5, -2], [2, 3, 5, 8, 10, 12, 14, -13, -11, -9, -7, -6], [1, 2, 3, 7, 10, 11, 12, 13, -14, -9, -8, -6, -5], [6, 8, 9, 11, -14, -12, -7, -5, -3], [3, 5, 7, -14, -13, -12, -10, -8, -6, -1], [3, 7, 8, 10, 11, 12, -14, -9, -6, -2], [2, 5, 6, 13, 14, -12, -10, -9, -3, -1], [1, 3, 6, 7, 9, 11, 13, 14, -12, -8, -5, -2], [2, -14, -11, -1], [7, 13, 6, -1], [12, 13, 6, -2], [1, 3, -13, -11, -9, -6], [-14, -3, 6, -9], [2, 3, 8, 11, 13], [-12, -10, -8, -3, -2], [1, 5, 7, 11, -12], [3, 5, 13, -10, -2], [2, 5, 9, -14, -12, -3], [3, 6, 9, -14, -2], [9, 12, 13, -10, -2], [5, 11, 13, -12, -7, -2], [2, 5, 7, 14, -9, -8], [2, 6, 8, 12, -13, -1], [6, 12, -13, -11, -5, -1], [6, 14, -13, -10, -7, -5], [2, 6, 9, 13, -11, -10], [1, 5, 9, 10, 12, -11, -8, -7], [11, -6, -13, -3], [2, 3, 7, 9, 10, 12, -5, -1], [4]]",0.98828125,0.31024169921875,0.31024169921875,0.98828125,0.98828125,0.9636018957345972,0.32196044921875,T-,T+,T+,0.9943782633872735,0.841175506478924,289.49007226828604,8178.631848974363,502,498,501,497
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-6, -5, 13], [-7, 2, -6, 4], [-8, 1, -2, 14], [1, 5, 11, 14, -12, -10, -8], [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, -12], [-8, 9]]","[[1, 2, 4, 7, 8, 9, 11, 14, -12, -6, -5, -3], [2, 4, 5, 9, -14, -12, -11, -7, -3, -1], [3, 5, 7, 9, 11, 13, 14, -10, -2, -6, -1], [1, 2, 10, -14, -7, -4, -3], [8, -13, -9], [5, -4, -3], [1, 3, -9], [4, 10, -14, -13, -7], [4, 8, 11, 12, -6, -1], [3, 5, 10, 14, -7, -1], [2, 11, -10, -7, -5], [3, 8, 9, -14, -11], [6, 7, 11, 13, -5, -1], [1, 9, 14, -13, -10, -5], [5, 12, -7, -6, -2], [7, 8, -11, -9, -4], [3, 6, -14, -9, -7, -1], [4, 7, 14, -13, -12, -1], [1, 11, 12, -14, -7], [6, 14, -11, -8, -4], [3, 6, 7, 13, -4, -2], [-10, -9, -7, -4, -1], [11, 12, -13, -6, -1], [5, 7, -14, -13, -10], [8, 6], [-8, -9, 7], [1, 9, -14, -12, -10, -6, -5, -3, -2], [10, 11, 12, 14, -8, -7, -6, -5, -3, -1], [8, 9, -4], [3, 6, 7, 9, 12, 13, -14, -10, -5], [4, -3, -2]]",0.98779296875,0.26544189453125,0.26544189453125,0.98779296875,0.98779296875,0.9633683270046907,0.27325439453125,T-,T+,T+,0.9910124194511327,0.7906377208193353,295.08894104304534,6873.984930857435,683,317,682,316
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[3, 5, 6, 8, 10, -14, -13, -12, -11, -2, -9, -7, -4, -1], [5, 10, -13, -11, -7, -6], [9], [2]]","[[1, 3, 4, 6, 10, 11, -14, -12, -8, -7, -5], [1, 4, 12, 13, -14, -11, -7, -6, -5, -3], [1, 4, 5, 7, 12, 14, -13, -11, -10, -3], [-11, 10, 4, -3], [3, 5, 6, 14], [-7, -6, -13, -2], [1, 3, -13, -11, -9, -8], [5, 7, 11, -13, -3], [4, -1, 6, -9], [3, 6, 12, -11, -10, -7, -2], [-14, -13, -12, -8, -6], [1, 11, 12, -14, -4], [4, 6, -10, -8, -2], [11, 12, -8, -4, -1], [4, 5, 8, 13, -14], [6, 7, 8, -10, -9, -5, -4], [5, 6, 7, 8, 14, -4], [4, 7, 14, -13, -12, -6], [8, 10, -14, -9, -5, -4], [1, 3, 8, 11, 14, -2], [8, -6, -9], [3, 4, 9, 11, 12, 13, -10, -7, -1], [1, 2, 6, 13, -14, -12, -10, -9, -3], [-8, -2, 7], [-2, -9]]",0.99029541015625,0.38763427734375,0.99029541015625,0.99029541015625,0.99029541015625,0.9923664122137404,0.3837890625,T+,T+,T+,0.9930152046810601,0.8208078941367508,228.3896165456381,5859.243467756198,316,684,316,682
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, -13, -1]]","[[7, -11, -9, -5, -4], [4, 8, 12, -11, -7], [-13, -9, 5, 7], [-8, 9, -10]]",0.998291015625,0.730712890625,0.730712890625,0.998291015625,0.998291015625,0.9976666666666667,0.732421875,T-,T+,T+,0.9769892474032514,0.8231541635378513,36.40244587209676,279.76577308595597,985,15,983,15
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,"[[1, 2, 3, 7, 8, 9, 10, 12, 14, -11, -6, -5, -4]]","[[2, 3, 7, 8, 10, -14, -13, -12, -11, -9, -5, -4, -1]]",0.9986572265625,0.9984130859375,0.9984130859375,0.9984130859375,0.9984130859375,0.9986568986568987,0.999755859375,T-,T-,T-,0.4627379449744891,0.4627379449744891,62.87157889192635,62.87157889192635,999,1,997,1
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[1, 2, 8, 9, 12, 13, 14, -11, -10, -7, -6, -5, -4, -3], [2, 5, 6, 12, -11, -10, -7], [4, 6, 14, -9, -1], [10, 3], [13, -9], [11, 13, -2], [-1, -10]]","[[1, 2, 7, 8, 11, 12, 13, -14, -4], [3, 5, 6, 8, 13, 14, -12, -10, -4], [4, 5, 7, 10, 14, -13, -12, -11, -2, -9, -8, -6, -1], [6, 7, 8, -14, -11, -10, -9, -5, -4, -3], [4, 6, 8, 10, 13, -12, -11, -2, -5, -3, -1], [4, 5, 9, 10, 12, 14, -2, -8, -7, -6, -1], [4, 5, 6, 8, 12, 14, -13, -9, -7, -1], [3, 6, 9, 11, 12, 14, -13, -10, -8, -7, -4, -2], [4, 6, 9, -14, -12, -11, -10, -8, -7, -2], [10, -3, 7], [-7, -6, -13], [8, 1, 4, 12], [8, 9, -4, 13], [-8, 1, -10], [10, 11, -12, -5, -1], [2, 5, 9, -13, -4], [2, 6, -12, -11, -10], [1, 6, 7, -11, -4, -2], [1, 10, -12, -11, -8, -7], [1, 7, 14, -6, -5], [9, -5, -3, 6], [1, 4, 9, 11, -12, -5], [7, 8, 10, 12, 14, -11], [10, -7, -5, -4, -3], [5, 8, -14, -11, -7], [11, -13, -8, -6, -4], [1, -6, -14, -7], [-14, 3, -10, 7, 8, 9, -2], [-13, 5, 6, -11, 10], [3, 4, 6, 7, 12, -10, -5, -2], [9, -14, -3, 13], [-3, -14, 11, 5], [4, 6, -9, 10, -5, 12, -1], [8, 11, -13, -12], [4, 6, 7, 10, 11, 14, -12, -8, -5, -2], [1, 3, -10], [1, -13, -3], [2, 4, 7, 11, 14, -12, -9, -6, -1], [3, -11, -10, -8, -6, 14], [-7, 2, -3]]",0.98443603515625,0.4249267578125,0.98443603515625,0.98443603515625,0.98443603515625,0.9893477309207647,0.41827392578125,T+,T+,T+,0.9798643656893743,0.7916054488277251,879.1347980923623,9098.640690534716,422,578,422,576
