Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;AvgAccuracy;StdDev;MaxAccuracy
100;11;2;3;5;8;4;5;4;12;4;3;2;13;1;5;2;11;1;8;1;12;1;4;4;15;2;2;2;8;0;6;7;8;4;7;2;8;0;5;3;0.517073;0.092683;0.234146;0.156098;0.7512;0.0875;0.9048
99;10;2;3;6;11;4;5;1;10;2;5;4;9;1;5;6;11;3;6;1;13;1;4;3;13;0;4;4;8;0;6;7;10;8;3;0;8;0;5;3;0.502439;0.102439;0.224390;0.170732;0.7268;0.0773;0.8125
98;10;2;3;6;11;4;5;1;10;2;5;4;9;1;5;6;11;3;6;1;13;1;4;3;13;0;4;4;8;0;6;7;10;8;3;0;8;0;5;3;0.502439;0.102439;0.224390;0.170732;0.7268;0.0773;0.8125
97;10;2;3;6;11;4;5;1;10;2;5;4;9;1;5;6;11;3;6;1;13;1;4;3;13;0;4;4;8;0;6;7;10;8;3;0;8;0;5;3;0.502439;0.102439;0.224390;0.170732;0.7268;0.0773;0.8125
96;10;2;3;6;11;4;5;1;10;2;5;4;9;1;5;6;11;3;6;1;13;1;4;3;15;2;2;2;8;0;6;7;8;4;7;2;8;0;5;3;0.502439;0.092683;0.234146;0.170732;0.7366;0.0685;0.8125
95;10;2;3;6;11;4;5;1;10;2;5;4;9;1;5;6;11;3;6;1;13;2;3;3;15;2;2;2;8;0;6;7;8;4;7;2;8;0;5;3;0.502439;0.097561;0.229268;0.170732;0.7317;0.0650;0.8125
94;10;2;3;6;11;4;5;1;10;2;5;4;14;1;5;1;11;3;6;1;13;2;3;3;15;2;2;2;11;2;4;4;8;4;7;2;8;0;5;3;0.541463;0.107317;0.219512;0.131707;0.7610;0.0740;0.9048
93;10;2;3;6;6;1;8;6;12;4;3;2;14;1;5;1;10;0;9;2;13;2;3;3;15;2;2;2;11;2;4;4;8;4;7;2;8;0;5;3;0.521951;0.087805;0.239024;0.151220;0.7610;0.0905;0.9048
92;10;2;3;6;6;1;8;6;12;4;3;2;14;1;5;1;10;0;9;2;13;2;3;3;15;2;2;2;11;2;4;4;8;4;7;2;8;0;5;3;0.521951;0.087805;0.239024;0.151220;0.7610;0.0905;0.9048
91;10;2;3;6;6;1;8;6;12;4;3;2;14;1;5;1;10;0;9;2;13;2;3;3;15;2;2;2;11;2;4;4;8;4;7;2;8;0;5;3;0.521951;0.087805;0.239024;0.151220;0.7610;0.0905;0.9048
90;10;2;3;6;6;1;8;6;12;4;3;2;14;1;5;1;10;0;9;2;13;2;3;3;15;2;2;2;11;2;4;4;8;4;7;2;8;0;5;3;0.521951;0.087805;0.239024;0.151220;0.7610;0.0905;0.9048
89;10;2;3;6;6;1;8;6;9;2;5;5;14;1;5;1;10;0;9;2;13;2;3;3;15;2;2;2;11;2;4;4;8;4;7;2;8;0;5;3;0.507317;0.078049;0.248780;0.165854;0.7561;0.0941;0.9048
88;10;2;3;6;6;1;8;6;9;2;5;5;7;1;5;8;10;0;9;2;13;2;3;3;15;2;2;2;9;0;6;6;8;4;7;2;8;0;5;3;0.463415;0.068293;0.258537;0.209756;0.7220;0.0951;0.9048
87;7;0;5;9;6;1;8;6;9;2;5;5;7;1;5;8;10;0;9;2;12;0;5;4;15;2;2;2;9;0;6;6;8;4;7;2;8;0;5;3;0.443902;0.048780;0.278049;0.229268;0.7220;0.1042;0.9048
86;10;1;4;6;6;1;8;6;9;2;5;5;10;1;5;5;10;0;9;2;12;0;5;4;15;2;2;2;9;0;6;6;8;4;7;2;8;0;5;3;0.473171;0.053659;0.273171;0.200000;0.7463;0.0772;0.9048
85;10;1;4;6;6;1;8;6;12;2;5;2;10;1;5;5;10;0;9;2;12;0;5;4;12;0;4;5;9;0;6;6;8;4;7;2;8;0;5;3;0.473171;0.043902;0.282927;0.200000;0.7561;0.0723;0.9048
84;10;1;4;6;7;3;6;5;12;2;5;2;10;1;5;5;11;1;8;1;12;0;5;4;12;0;4;5;9;0;6;6;8;4;7;2;8;0;5;3;0.482927;0.058537;0.268293;0.190244;0.7512;0.0793;0.9048
83;10;1;4;6;7;3;6;5;12;2;5;2;10;1;5;5;11;1;8;1;12;0;5;4;12;0;4;5;9;0;6;6;9;8;3;1;8;0;5;3;0.487805;0.078049;0.248780;0.185366;0.7366;0.0961;0.9048
82;10;1;4;6;7;3;6;5;12;2;5;2;10;1;5;5;11;1;8;1;12;0;5;4;12;0;4;5;9;0;6;6;9;8;3;1;8;0;5;3;0.487805;0.078049;0.248780;0.185366;0.7366;0.0961;0.9048
81;10;1;4;6;7;3;6;5;12;2;5;2;10;1;5;5;11;1;8;1;12;0;5;4;12;0;4;5;9;0;6;6;9;8;3;1;8;0;5;3;0.487805;0.078049;0.248780;0.185366;0.7366;0.0961;0.9048
80;10;1;4;6;7;3;6;5;12;2;5;2;10;1;5;5;11;1;8;1;12;0;5;4;12;0;4;5;9;0;6;6;9;8;3;1;8;0;5;3;0.487805;0.078049;0.248780;0.185366;0.7366;0.0961;0.9048
79;10;1;4;6;7;3;6;5;12;2;5;2;10;1;5;5;11;1;8;1;12;0;5;4;14;2;2;3;9;0;6;6;9;8;3;1;8;0;5;3;0.497561;0.087805;0.239024;0.175610;0.7366;0.0961;0.9048
78;10;2;3;6;7;3;6;5;12;2;5;2;14;1;5;1;11;1;8;1;12;1;4;4;14;2;2;3;10;0;6;5;6;1;10;4;8;0;5;3;0.507317;0.063415;0.263415;0.165854;0.7707;0.0925;0.9048
77;10;2;3;6;7;3;6;5;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;14;2;2;3;10;0;6;5;6;1;10;4;8;0;5;3;0.497561;0.073171;0.253659;0.175610;0.7512;0.1019;0.9048
76;10;2;3;6;8;4;5;4;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;14;2;2;3;10;0;6;5;6;1;10;4;8;0;5;3;0.502439;0.078049;0.248780;0.170732;0.7512;0.1019;0.9048
75;10;2;3;6;6;2;7;6;10;4;3;4;14;1;5;1;10;0;9;2;12;1;4;4;14;2;2;3;10;0;6;5;7;1;10;3;11;0;5;0;0.507317;0.063415;0.263415;0.165854;0.7707;0.1262;1.0000
74;10;2;3;6;6;2;7;6;10;4;3;4;14;1;5;1;10;0;9;2;12;1;4;4;14;2;2;3;10;0;6;5;7;1;10;3;11;0;5;0;0.507317;0.063415;0.263415;0.165854;0.7707;0.1262;1.0000
73;10;2;3;6;6;2;7;6;9;2;5;5;14;1;5;1;10;0;9;2;12;1;4;4;14;2;2;3;10;0;6;5;7;1;10;3;11;0;5;0;0.502439;0.053659;0.273171;0.170732;0.7756;0.1210;1.0000
72;10;2;3;6;6;2;7;6;9;2;5;5;11;1;5;4;10;0;9;2;12;1;4;4;14;2;2;3;9;0;6;6;7;1;10;3;11;0;5;0;0.482927;0.053659;0.273171;0.190244;0.7561;0.1148;1.0000
71;10;2;3;6;6;2;7;6;9;2;5;5;11;1;5;4;10;0;9;2;12;1;4;4;14;2;2;3;9;0;6;6;7;1;10;3;11;0;5;0;0.482927;0.053659;0.273171;0.190244;0.7561;0.1148;1.0000
70;10;2;3;6;6;2;7;6;9;2;5;5;11;1;5;4;10;0;9;2;12;1;4;4;14;2;2;3;9;0;6;6;7;1;10;3;8;0;5;3;0.468293;0.053659;0.273171;0.204878;0.7415;0.0860;0.9048
69;10;2;3;6;6;2;7;6;9;2;5;5;14;1;5;1;10;0;9;2;12;1;4;4;13;0;4;4;10;0;6;5;7;1;10;3;8;0;5;3;0.482927;0.043902;0.282927;0.190244;0.7659;0.0988;0.9048
68;10;2;3;6;7;3;6;5;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;13;0;4;4;10;0;6;5;7;1;10;3;8;0;5;3;0.497561;0.063415;0.263415;0.175610;0.7610;0.1045;0.9048
67;10;2;3;6;7;3;6;5;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;13;0;4;4;10;0;6;5;9;5;6;1;11;0;5;0;0.521951;0.082927;0.243902;0.151220;0.7659;0.1275;1.0000
66;10;2;3;6;7;3;6;5;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;13;0;4;4;10;0;6;5;9;5;6;1;11;0;5;0;0.521951;0.082927;0.243902;0.151220;0.7659;0.1275;1.0000
65;10;2;3;6;7;3;6;5;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;13;0;4;4;10;0;6;5;9;5;6;1;11;0;5;0;0.521951;0.082927;0.243902;0.151220;0.7659;0.1275;1.0000
64;10;2;3;6;7;3;6;5;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;13;0;4;4;10;0;6;5;9;5;6;1;11;0;5;0;0.521951;0.082927;0.243902;0.151220;0.7659;0.1275;1.0000
63;10;2;3;6;7;3;6;5;10;4;3;4;14;1;5;1;11;1;8;1;12;1;4;4;13;0;4;4;10;0;6;5;9;5;6;1;11;0;5;0;0.521951;0.082927;0.243902;0.151220;0.7659;0.1275;1.0000
