minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
120;0;127;0;0;3018;18815;2020;20835;0
114;3;127;1;1;2903;18154;2038;20192;0
104;3;127;1;1;2903;18154;2038;20192;0
94;11;125;4;4;2800;17600;2068;19669;0
84;23;125;5;5;2700;17080;2092;19172;0
74;50;125;7;7;2620;16661;2136;18797;0
64;103;123;11;11;2528;16122;2239;18361;0
54;380;122;17;17;2337;15055;2387;17442;0
44;1532;124;21;21;2118;13906;2571;16478;0
34;16813;121;30;30;1907;12762;2793;15555;1
24;370663;122;41;41;1631;11279;3222;14500;5
